RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned,Loyalty_Score
6,15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,1,5,DIAMOND,484,35.84
19,15661507,Muldrow,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,0,3,PLATINUM,732,27.32
42,15738148,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65,1,1,5,SILVER,828,37.28
44,15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1,1,2,GOLD,567,16.67
45,15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,0,1,PLATINUM,884,23.34
51,15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,0,4,SILVER,829,39.29
77,15614049,Hu,664,France,Male,55,8,0.0,2,1,1,139161.64,0,0,5,SILVER,220,35.2
86,15805254,Ndukaku,652,Spain,Female,75,10,0.0,2,1,1,114675.75,0,0,5,DIAMOND,651,42.51
91,15757535,Heap,647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,1,3,DIAMOND,752,32.019999999999996
92,15731511,Ritchie,808,France,Male,45,7,118626.55,2,1,0,147132.46,0,0,1,SILVER,559,23.09
102,15743192,Hung,623,France,Female,44,6,0.0,2,0,0,167162.43,0,0,2,DIAMOND,520,24.2
105,15804919,Dunbabin,670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,1,2,GOLD,915,20.65
124,15760085,Calabresi,684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0,0,1,GOLD,462,26.62
141,15698932,Groves,756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0,0,5,PLATINUM,965,41.65
144,15713483,Greeves,793,Spain,Male,52,2,0.0,1,1,0,159123.82,1,1,5,GOLD,883,28.83
152,15759618,Alexeeva,535,France,Female,48,9,0.0,1,1,0,149892.79,1,1,4,GOLD,697,34.47
159,15589975,Maclean,646,France,Female,73,6,97259.25,1,0,1,104719.66,0,0,1,PLATINUM,250,18.5
183,15621075,Ogbonnaya,778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0,0,2,DIAMOND,250,14.0
203,15600974,He,516,Spain,Male,50,5,0.0,1,0,1,146145.93,1,1,5,GOLD,509,31.59
209,15684181,Hackett,643,France,Male,45,5,0.0,1,1,0,142513.5,1,1,3,GOLD,730,25.8
210,15612087,Dike,671,France,Male,45,2,106376.85,1,0,1,158264.62,0,0,3,DIAMOND,244,18.44
216,15723488,Watson,668,Germany,Male,47,7,106854.21,1,0,1,157959.02,1,1,3,GOLD,629,29.79
217,15680920,Marchesi,695,France,Male,46,7,49512.55,1,1,0,133007.34,0,0,3,DIAMOND,310,24.6
225,15568748,Poole,671,Germany,Male,45,6,99564.22,1,1,1,108872.45,1,1,3,PLATINUM,901,31.009999999999998
231,15808473,Ringrose,673,France,Male,72,1,0.0,2,0,1,111981.19,0,0,3,SILVER,865,25.15
250,15772423,Liao,739,Germany,Male,54,8,126418.14,1,1,0,134420.75,1,1,2,DIAMOND,718,27.18
253,15793726,Matveyeva,681,France,Female,79,0,0.0,2,0,1,170968.99,0,0,5,DIAMOND,333,24.33
278,15767339,Chiazagomekpere,777,France,Female,53,10,0.0,2,1,0,189992.97,0,0,2,PLATINUM,306,28.06
280,15782210,K'ung,714,France,Male,46,1,0.0,1,1,0,152167.79,1,1,2,PLATINUM,747,16.97
298,15684173,Chang,687,Spain,Female,44,7,0.0,3,1,0,155853.52,1,1,2,SILVER,336,25.86
299,15650068,Johnson,511,France,Male,58,0,149117.31,1,1,1,162599.51,0,0,1,GOLD,517,12.17
309,15773972,Balashov,614,France,Male,50,4,137104.47,1,1,0,127166.49,1,1,1,DIAMOND,958,20.58
311,15712287,Pokrovskii,652,France,Female,80,4,0.0,2,1,1,188603.07,0,0,1,GOLD,662,21.62
314,15797960,Skinner,806,Germany,Female,59,0,135296.33,1,1,0,182822.5,0,0,1,SILVER,486,9.86
317,15662736,Doyle,559,France,Male,49,2,147069.78,1,1,0,120540.83,1,1,1,DIAMOND,245,10.45
328,15736008,Hunter,644,France,Female,46,9,95441.27,1,1,0,108761.05,1,1,1,SILVER,568,24.18
333,15702669,Faulkner,663,Germany,Male,44,2,117028.6,2,0,1,144680.18,0,0,4,DIAMOND,919,30.189999999999998
355,15625461,Amos,613,France,Female,45,1,187841.99,2,1,1,147224.27,0,0,1,PLATINUM,482,15.32
357,15611759,Simmons,850,Spain,Female,57,8,126776.3,2,1,1,132298.49,0,0,3,GOLD,244,29.44
363,15706365,Bianchi,648,France,Female,50,9,102535.57,1,1,1,189543.19,0,0,5,DIAMOND,332,35.82
365,15676715,Madukaego,640,France,Male,68,9,0.0,2,1,1,199493.38,0,0,4,PLATINUM,763,39.13
372,15774696,Cole,640,Germany,Female,75,1,106307.91,2,0,1,113428.77,0,0,2,PLATINUM,703,20.53
377,15583456,Gardiner,745,Germany,Male,45,10,117231.63,3,1,1,122381.02,1,1,2,GOLD,291,31.91
381,15713578,Farrell,483,France,Female,50,9,0.0,2,1,1,111020.24,0,0,5,SILVER,706,41.56
388,15776433,Greco,730,Spain,Male,62,2,0.0,2,1,1,186489.95,0,0,4,GOLD,594,26.94
389,15748936,Whitehead,709,Spain,Female,45,2,0.0,2,0,1,162922.65,0,0,1,PLATINUM,815,20.15
400,15646372,Outhwaite,616,France,Female,66,1,135842.41,1,1,0,183840.51,1,1,2,DIAMOND,302,12.52
401,15690452,Tung,605,France,Male,52,1,63349.75,1,1,0,108887.44,0,0,2,DIAMOND,437,13.870000000000001
403,15781589,Carpenter,751,Spain,Male,52,8,0.0,2,0,1,179291.85,0,0,5,SILVER,629,39.29
407,15578045,Mitchell,538,Spain,Female,49,9,141434.04,1,0,0,173779.25,1,1,5,GOLD,797,38.47
419,15659843,Li,643,France,Female,46,6,0.0,2,0,0,106781.59,0,0,4,DIAMOND,597,30.97
444,15732628,Ugoji,745,France,Male,46,2,122220.19,1,1,1,118024.1,0,0,3,DIAMOND,781,23.81
445,15787470,Parkinson,553,Spain,Male,47,3,116528.15,1,0,0,145704.19,1,1,2,DIAMOND,918,21.68
450,15658169,Cook,778,Spain,Female,47,6,127299.34,2,1,0,124694.99,0,0,2,GOLD,859,27.59
485,15676519,George,615,Spain,Male,61,9,0.0,2,1,0,150227.85,1,1,4,DIAMOND,683,36.33
490,15807709,Kirby,714,Germany,Female,55,9,180075.22,1,1,1,100127.71,0,0,1,GOLD,652,27.02
494,15725679,Hsia,531,France,Female,47,6,0.0,1,0,0,194998.34,1,1,2,SILVER,510,22.1
500,15677020,Selezneva,570,France,Female,58,8,0.0,1,0,1,116503.92,1,1,2,DIAMOND,257,24.57
504,15730059,Udobata,638,Spain,Male,44,9,77637.35,2,1,1,111346.22,0,0,4,SILVER,343,34.93
519,15775912,Mazzanti,698,France,Male,48,4,101238.24,2,0,1,177815.87,1,1,1,GOLD,342,18.42
520,15745417,Knipe,707,France,Male,58,6,89685.92,1,0,1,126471.13,0,0,2,GOLD,230,21.3
522,15653547,Madukwe,850,France,Male,56,7,131317.48,1,1,1,119175.45,0,0,3,SILVER,657,30.07
544,15705953,Kodilinyechukwu,721,Spain,Male,51,0,169312.13,1,1,0,109078.35,1,1,2,PLATINUM,405,12.05
546,15615457,Burns,842,Spain,Female,44,2,112652.08,2,1,0,126644.98,0,0,5,DIAMOND,939,31.39
556,15775318,Lu,590,Spain,Female,51,3,154962.99,3,0,1,191932.27,1,1,1,SILVER,759,23.09
567,15651674,Billson,438,Spain,Female,54,2,0.0,1,0,0,191763.07,1,1,3,SILVER,281,16.81
574,15607312,Ch'ang,648,Spain,Female,49,10,0.0,2,1,1,159835.78,1,1,2,GOLD,314,30.14
586,15718057,Onyinyechukwuka,760,France,Female,51,2,100946.71,1,0,0,179614.8,1,1,4,DIAMOND,550,22.5
588,15680998,Nwankwo,725,France,Male,44,5,0.0,1,1,1,117356.14,0,0,4,SILVER,865,32.15
590,15591047,Ma,519,Spain,Female,47,6,157296.02,2,0,0,147278.43,1,1,1,PLATINUM,934,25.34
607,15661249,Bellucci,699,France,Male,53,4,0.0,2,0,1,111307.98,0,0,1,PLATINUM,513,20.13
618,15766575,Larionova,612,Germany,Female,62,8,140745.33,1,1,0,193437.89,1,1,5,GOLD,455,33.55
629,15589030,Ts'ai,649,France,Male,47,1,0.0,2,1,1,145593.85,0,0,4,GOLD,908,28.58
638,15583725,Mairinger,682,France,Male,48,1,138778.15,1,0,1,168840.23,0,0,5,SILVER,229,22.79
641,15784844,K'ung,752,Spain,Male,48,5,116060.08,1,1,0,156618.38,1,1,5,PLATINUM,265,27.15
651,15730447,Anderson,629,France,Female,49,4,0.0,2,1,1,196335.48,0,0,5,PLATINUM,921,36.21
658,15698474,Sagese,601,Germany,Female,54,1,131039.97,2,1,1,199661.5,0,0,1,DIAMOND,929,19.79
659,15568595,Fleming,544,France,Male,64,9,113829.45,1,1,1,124341.49,0,0,3,GOLD,562,32.12
662,15699637,Anenechi,694,Spain,Male,57,8,116326.07,1,1,1,117704.65,0,0,2,SILVER,988,31.880000000000003
664,15788659,Howells,695,France,Male,46,4,0.0,2,1,1,137537.22,0,0,2,PLATINUM,499,22.990000000000002
678,15715142,Repina,739,Germany,Male,45,7,102703.62,1,0,1,147802.94,1,1,3,SILVER,827,31.77
682,15613880,Higinbotham,591,Spain,Male,58,5,128468.69,1,0,1,137254.55,0,0,2,GOLD,515,22.65
688,15579334,Watkins,769,Germany,Female,45,5,126674.81,1,1,0,124118.71,1,1,5,DIAMOND,592,30.42
695,15681068,Chinagorom,796,France,Female,45,2,109730.22,1,1,1,123882.73,0,0,2,DIAMOND,267,15.67
698,15620204,Walker,543,Germany,Female,57,1,106138.33,2,1,1,120657.32,1,1,5,GOLD,677,29.27
703,15603436,Savage,594,Spain,Female,49,2,126615.94,2,0,1,123214.74,0,0,3,DIAMOND,650,24.5
