RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned,Loyalty_Score
47,15602280,Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,1,3,DIAMOND,779,34.29
48,15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,1,1,SILVER,730,27.8
52,15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,0,3,SILVER,665,27.15
61,15651280,Hunter,742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,0,4,GOLD,823,29.73
62,15773469,Clark,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,0,5,DIAMOND,769,40.19
65,15592461,Jackson,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,0,3,PLATINUM,882,27.82
84,15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,1,1,159235.29,0,0,4,SILVER,511,27.11
98,15693683,Yuille,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,0,2,GOLD,965,33.65
110,15744689,T'ang,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,1,3,DIAMOND,328,27.78
115,15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,1,5,PLATINUM,541,39.91
116,15675522,Ko,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,0,2,GOLD,736,32.86
117,15705512,Welch,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,0,4,SILVER,529,28.29
130,15591607,Fernie,770,France,Male,24,9,101827.07,1,1,0,167256.35,0,0,4,GOLD,730,34.8
132,15718369,Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0,0,5,GOLD,411,36.61
135,15712543,Chinweike,789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,0,2,PLATINUM,377,26.27
166,15585388,Sherman,660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0,0,5,GOLD,612,40.62
167,15724623,Taubman,704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1,1,2,PLATINUM,801,26.509999999999998
174,15586310,Ting,578,France,Male,30,4,169462.09,1,1,0,112187.11,0,1,5,DIAMOND,872,31.72
178,15790355,Okechukwu,606,Germany,Male,36,5,190479.48,2,0,0,179351.89,0,0,5,PLATINUM,929,35.79
179,15762615,Campbell,597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0,0,5,SILVER,681,37.81
190,15587421,Tsai,687,Germany,Female,34,7,111388.18,2,1,0,148564.76,0,0,4,GOLD,570,32.2
194,15702741,Potts,601,France,Male,32,8,93012.89,1,1,0,86957.42,0,0,2,GOLD,799,27.990000000000002
221,15725311,Hay,726,France,Female,31,9,114722.05,2,1,1,98178.57,0,0,5,SILVER,811,42.61
226,15699029,Bagley,670,France,Male,37,4,170557.91,2,1,0,198252.88,0,0,5,GOLD,729,32.29
234,15723886,Fiore,767,Germany,Male,20,3,119714.25,2,0,1,150135.38,0,0,4,DIAMOND,535,27.85
243,15813844,Barnes,703,France,Male,37,8,105961.68,2,0,1,74158.8,0,0,1,DIAMOND,619,27.19
246,15797219,Ifesinachi,635,France,Female,40,10,123497.58,1,1,0,131953.23,1,1,5,GOLD,774,39.74
249,15657566,Wieck,634,Germany,Male,24,8,103097.85,1,1,1,157577.29,0,0,2,GOLD,532,27.32
285,15708608,Wallwork,799,France,Female,22,8,174185.98,2,0,1,192633.85,0,0,3,PLATINUM,219,29.19
294,15590241,Chuang,750,Spain,Female,34,9,112822.26,1,0,0,150401.53,1,1,2,PLATINUM,563,27.13
329,15669064,Mazzanti,671,Germany,Male,35,1,144848.74,1,1,1,179012.3,0,0,5,PLATINUM,731,27.81
330,15624528,L?,664,Germany,Male,26,7,116244.14,2,1,1,95145.14,0,0,2,GOLD,837,30.869999999999997
334,15728669,Knowles,584,Germany,Female,30,8,112013.81,1,1,0,177772.03,1,1,4,PLATINUM,641,32.41
336,15697441,Hsueh,485,France,Male,29,7,182123.79,1,1,0,116828.51,1,1,4,GOLD,583,30.33
341,15745844,Kerr,642,Germany,Female,40,6,129502.49,2,0,1,86099.23,1,1,4,GOLD,269,29.69
347,15658935,Freeman,630,Germany,Female,34,9,106937.05,2,1,0,138275.01,0,0,3,SILVER,624,32.74
351,15659420,Foley,659,Spain,Male,32,3,107594.11,2,1,1,102416.84,0,0,3,DIAMOND,683,26.33
358,15661629,Ricci,522,Spain,Male,34,9,126436.29,1,1,0,174248.52,1,1,3,GOLD,973,34.230000000000004
368,15594720,Scott,460,Germany,Female,35,8,102742.91,2,1,1,189339.6,0,0,5,DIAMOND,366,36.66
378,15667871,Kerr,572,Spain,Male,35,4,152390.26,1,1,0,128123.66,0,0,4,GOLD,951,29.509999999999998
384,15622993,Boyd,709,Germany,Male,28,8,124695.72,2,1,0,145251.35,0,0,3,DIAMOND,665,31.65
391,15685226,Morrison,712,Germany,Female,29,7,147199.07,1,1,1,84932.4,0,0,3,SILVER,886,32.36
402,15747795,Pai,593,Germany,Female,38,4,129499.42,1,1,1,154071.27,0,0,5,SILVER,337,28.37
409,15701376,K'ung,668,Germany,Male,37,10,152958.29,2,1,1,159585.61,0,0,2,SILVER,743,34.43
413,15686302,Fisk,745,Spain,Female,31,3,124328.84,1,1,1,140451.52,0,0,5,GOLD,924,32.74
426,15784597,Lattimore,648,France,Male,26,9,162923.85,1,1,0,98368.24,0,0,5,GOLD,922,39.72
427,15652883,Chung,492,Germany,Male,39,10,124576.65,2,1,0,148584.61,0,0,5,GOLD,560,39.6
434,15595039,Manna,545,Germany,Female,37,8,114754.08,1,1,0,136050.44,1,1,5,GOLD,958,38.58
438,15624623,Hs?,516,France,Male,35,10,104088.59,2,0,0,119666.0,0,0,1,GOLD,565,27.65
443,15672145,Swift,534,France,Female,34,7,121551.58,2,1,1,70179.0,0,0,3,SILVER,351,29.009999999999998
448,15644572,Turnbull,501,France,Male,40,4,125832.2,1,1,1,100433.83,0,0,3,DIAMOND,923,28.23
461,15732778,Templeman,468,Germany,Male,29,1,111681.98,2,1,1,195711.16,0,0,3,GOLD,977,26.27
